Time	Node	Type	Packets	
13	Node1	CacheMisses	764
13	Node2	CacheHits	0
13	Node2	CacheMisses	0
13	Node3	CacheHits	0
13	Node3	CacheMisses	0
13	Node4	CacheHits	0
13	Node4	CacheMisses	765
13	Node5	CacheHits	0
13	Node5	CacheMisses	0
13	Node6	CacheHits	0
13	Node6	CacheMisses	0
13	Node7	CacheHits	1
13	Node7	CacheMisses	764
13	Node8	CacheHits	0
13	Node8	CacheMisses	794
14	Node0	CacheHits	0
14	Node0	CacheMisses	822
14	Node1	CacheHits	103
14	Node1	CacheMisses	788
14	Node2	CacheHits	0
14	Node2	CacheMisses	0
14	Node3	CacheHits	0
14	Node3	CacheMisses	0
14	Node4	CacheHits	0
14	Node4	CacheMisses	786
14	Node5	CacheHits	0
14	Node5	CacheMisses	0
14	Node6	CacheHits	0
14	Node6	CacheMisses	0
14	Node7	CacheHits	0
14	Node7	CacheMisses	789
14	Node8	CacheHits	0
14	Node8	CacheMisses	817
15	Node0	CacheHits	0
15	Node0	CacheMisses	823
15	Node1	CacheHits	118
15	Node1	CacheMisses	791
15	Node2	CacheHits	0
15	Node2	CacheMisses	0
15	Node3	CacheHits	0
15	Node3	CacheMisses	0
15	Node4	CacheHits	0
15	Node4	CacheMisses	794
15	Node5	CacheHits	0
15	Node5	CacheMisses	0
15	Node6	CacheHits	0
15	Node6	CacheMisses	0
15	Node7	CacheHits	0
15	Node7	CacheMisses	789
15	Node8	CacheHits	0
15	Node8	CacheMisses	812
16	Node0	CacheHits	0
16	Node0	CacheMisses	843
16	Node1	CacheHits	127
16	Node1	CacheMisses	802
16	Node2	CacheHits	0
16	Node2	CacheMisses	0
16	Node3	CacheHits	0
16	Node3	CacheMisses	0
16	Node4	CacheHits	0
16	Node4	CacheMisses	798
16	Node5	CacheHits	0
16	Node5	CacheMisses	0
16	Node6	CacheHits	0
16	Node6	CacheMisses	0
16	Node7	CacheHits	0
16	Node7	CacheMisses	802
16	Node8	CacheHits	0
16	Node8	CacheMisses	823
17	Node0	CacheHits	0
17	Node0	CacheMisses	816
17	Node1	CacheHits	114
17	Node1	CacheMisses	787
17	Node2	CacheHits	0
17	Node2	CacheMisses	0
17	Node3	CacheHits	0
17	Node3	CacheMisses	0
17	Node4	CacheHits	0
17	Node4	CacheMisses	790
17	Node5	CacheHits	0
17	Node5	CacheMisses	0
17	Node6	CacheHits	0
17	Node6	CacheMisses	0
17	Node7	CacheHits	1
17	Node7	CacheMisses	784
17	Node8	CacheHits	0
17	Node8	CacheMisses	804
18	Node0	CacheHits	0
18	Node0	CacheMisses	791
18	Node1	CacheHits	128
18	Node1	CacheMisses	744
18	Node2	CacheHits	0
18	Node2	CacheMisses	0
18	Node3	CacheHits	0
18	Node3	CacheMisses	0
18	Node4	CacheHits	0
18	Node4	CacheMisses	746
18	Node5	CacheHits	0
18	Node5	CacheMisses	0
18	Node6	CacheHits	0
18	Node6	CacheMisses	0
18	Node7	CacheHits	0
18	Node7	CacheMisses	748
18	Node8	CacheHits	0
18	Node8	CacheMisses	774
19	Node0	CacheHits	0
19	Node0	CacheMisses	825
19	Node1	CacheHits	118
19	Node1	CacheMisses	796
19	Node2	CacheHits	0
19	Node2	CacheMisses	0
19	Node3	CacheHits	0
19	Node3	CacheMisses	0
19	Node4	CacheHits	0
19	Node4	CacheMisses	795
19	Node5	CacheHits	0
19	Node5	CacheMisses	0
19	Node6	CacheHits	0
19	Node6	CacheMisses	0
19	Node7	CacheHits	0
19	Node7	CacheMisses	796
19	Node8	CacheHits	0
19	Node8	CacheMisses	813
20	Node0	CacheHits	0
20	Node0	CacheMisses	833
20	Node1	CacheHits	118
20	Node1	CacheMisses	800
20	Node2	CacheHits	0
20	Node2	CacheMisses	0
20	Node3	CacheHits	0
20	Node3	CacheMisses	0
20	Node4	CacheHits	0
20	Node4	CacheMisses	799
20	Node5	CacheHits	0
20	Node5	CacheMisses	0
20	Node6	CacheHits	0
20	Node6	CacheMisses	0
20	Node7	CacheHits	0
20	Node7	CacheMisses	802
20	Node8	CacheHits	0
20	Node8	CacheMisses	822
21	Node0	CacheHits	0
21	Node0	CacheMisses	803
21	Node1	CacheHits	123
21	Node1	CacheMisses	766
21	Node2	CacheHits	0
21	Node2	CacheMisses	0
21	Node3	CacheHits	0
21	Node3	CacheMisses	0
21	Node4	CacheHits	0
21	Node4	CacheMisses	764
21	Node5	CacheHits	0
21	Node5	CacheMisses	0
21	Node6	CacheHits	0
21	Node6	CacheMisses	0
21	Node7	CacheHits	0
21	Node7	CacheMisses	759
21	Node8	CacheHits	0
21	Node8	CacheMisses	797
22	Node0	CacheHits	0
22	Node0	CacheMisses	818
22	Node1	CacheHits	131
22	Node1	CacheMisses	776
22	Node2	CacheHits	0
22	Node2	CacheMisses	0
22	Node3	CacheHits	0
22	Node3	CacheMisses	0
22	Node4	CacheHits	0
22	Node4	CacheMisses	777
22	Node5	CacheHits	0
22	Node5	CacheMisses	0
22	Node6	CacheHits	0
22	Node6	CacheMisses	0
22	Node7	CacheHits	0
22	Node7	CacheMisses	777
22	Node8	CacheHits	0
22	Node8	CacheMisses	797
23	Node0	CacheHits	0
23	Node0	CacheMisses	818
23	Node1	CacheHits	132
23	Node1	CacheMisses	783
23	Node2	CacheHits	0
23	Node2	CacheMisses	0
23	Node3	CacheHits	0
23	Node3	CacheMisses	0
23	Node4	CacheHits	0
23	Node4	CacheMisses	785
23	Node5	CacheHits	0
23	Node5	CacheMisses	0
23	Node6	CacheHits	0
23	Node6	CacheMisses	0
23	Node7	CacheHits	0
23	Node7	CacheMisses	788
23	Node8	CacheHits	0
23	Node8	CacheMisses	809
24	Node0	CacheHits	0
24	Node0	CacheMisses	829
24	Node1	CacheHits	134
24	Node1	CacheMisses	789
24	Node2	CacheHits	0
24	Node2	CacheMisses	0
24	Node3	CacheHits	0
24	Node3	CacheMisses	0
24	Node4	CacheHits	0
24	Node4	CacheMisses	783
24	Node5	CacheHits	0
